


# Centrality indices at time 14
# Label Closeness Stress Betweenness
1 0.0004409171075838 70948 7223.2925094044400000
2 0.0004156275976725 50831 6357.7824548305540000
3 0.0004636068613815 100167 9429.0295566009720000
4 0.0004140786749482 46438 4700.5654835720980000
5 0.0003992015968064 10455 1187.0204909019533000
6 0.0004192872117400 30294 3112.1558528584860000
7 0.0004269854824936 92523 11819.8383998298670000
8 0.0003672420124862 4733 612.0031660178884000
9 0.0004291845493562 35811 3447.1960021802450000
10 0.0004137360364088 87593 9668.4163750525460000
11 0.0004266211604096 29740 3389.7938704731628000
12 0.0003888024883359 21946 2351.2792604900740000
13 0.0004416961130742 106291 14459.4247410126170000
14 0.0004071661237785 89494 11174.7448613697850000
15 0.0004180602006689 39127 4360.3482737187590000
16 0.0004380201489269 168855 17351.9560338190640000
17 0.0003529827038475 6674 761.7660432234518000
18 0.0004116920543434 21295 2449.2386461474190000
19 0.0004312203536007 60543 6188.7318817853775000
20 0.0004178854993732 22912 2445.6004433233056000
21 0.0004514672686230 148559 16998.4958377675180000
22 0.0003963535473642 7165 574.3761974992776000
23 0.0004835589941973 242452 29122.5855138663170000
24 0.0004239084357779 133805 15939.7983931130980000
25 0.0004215851602024 49477 6739.4710015655340000
26 0.0003441156228493 0 0.0000000000000000
27 0.0004058441558442 34633 3955.2915345746730000
28 0.0003974562798092 12033 1455.1504890036888000
29 0.0003832886163281 9291 1314.2197026945807000
30 0.0003998400639744 80810 9036.6622444813510000
31 0.0004332755632582 31389 3222.4307295168550000
32 0.0003414134516900 1349 216.5545821730080100
33 0.0003690036900369 2755 217.8857694752711000
34 0.0004027386226339 27144 2810.4778071564180000
35 0.0003133813851457 0 0.0000000000000000
36 0.0003133813851457 0 0.0000000000000000
37 0.0003131850923896 0 0.0000000000000000
38 0.0004244482173175 72683 9315.8034237862280000
39 0.0004597701149425 69201 6860.9461002564780000
40 0.0004440497335702 66405 6620.5609425620420000
41 0.0004764173415912 200741 23171.2873103393870000
42 0.0004768717215069 225483 24587.4159792866900000
43 0.0003979307600478 4504 389.6415673206977300
44 0.0004182350480970 30491 3646.6448783133706000
45 0.0004510599909788 101053 12208.0118013295610000
46 0.0004541326067212 121685 12936.3859090940840000
47 0.0003856536829927 3513 408.9999194042848700
48 0.0004022526146420 6404 654.5605065417013000
49 0.0004422821760283 116926 12458.0359487496680000
50 0.0004482294935007 40304 3321.3585640782353000
51 0.0004342162396874 71731 8837.4257168707060000
52 0.0004721435316336 171896 20249.9478676975780000
53 0.0003594536304817 318 14.2707655614889430
54 0.0004621072088725 102326 10959.8737641047960000
55 0.0004079967360261 11197 1051.3184771958295000
56 0.0004370629370629 75466 7115.9016980483050000
57 0.0004135649296940 62342 7764.5136848470940000
